"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2016","748.81","748.81","748.81","748.81","","0.66%"
"08/17/2016","743.88","743.88","743.88","743.88","","-0.25%"
"08/16/2016","745.71","745.71","745.71","745.71","","-0.70%"
"08/15/2016","750.96","750.96","750.96","750.96","","0.91%"
"08/12/2016","744.16","744.16","744.16","744.16","","-0.12%"
"08/11/2016","745.08","745.08","745.08","745.08","","0.40%"
"08/10/2016","742.13","742.13","742.13","742.13","","-0.50%"
"08/09/2016","745.86","745.86","745.86","745.86","","0.02%"
"08/08/2016","745.69","745.69","745.69","745.69","","-0.13%"
"08/05/2016","746.67","746.67","746.67","746.67","","1.33%"
"08/04/2016","736.86","736.86","736.86","736.86","","0.05%"
"08/03/2016","736.52","736.52","736.52","736.52","","0.55%"
"08/02/2016","732.50","732.50","732.50","732.50","","-1.45%"
"08/01/2016","743.28","743.28","743.28","743.28","","-0.09%"
"07/29/2016","743.98","743.98","743.98","743.98","","0.15%"
"07/28/2016","742.86","742.86","742.86","742.86","","-0.33%"
"07/27/2016","745.31","745.31","745.31","745.31","","0.21%"
"07/26/2016","743.72","743.72","743.72","743.72","","0.61%"
"07/25/2016","739.19","739.19","739.19","739.19","","-0.36%"
"07/22/2016","741.86","741.86","741.86","741.86","","0.66%"
"07/21/2016","736.99","736.99","736.99","736.99","","-0.59%"
"07/20/2016","741.33","741.33","741.33","741.33","","0.62%"
"07/19/2016","736.75","736.75","736.75","736.75","","-0.62%"
"07/18/2016","741.31","741.31","741.31","741.31","","0.08%"
"07/15/2016","740.72","740.72","740.72","740.72","","0.17%"
"07/14/2016","739.46","739.46","739.46","739.46","","0.02%"
"07/13/2016","739.28","739.28","739.28","739.28","","-0.13%"
"07/12/2016","740.23","740.23","740.23","740.23","","1.33%"
"07/11/2016","730.53","730.53","730.53","730.53","","1.13%"
"07/08/2016","722.40","722.40","722.40","722.40","","2.39%"
"07/07/2016","705.57","705.57","705.57","705.57","","0.18%"
"07/06/2016","704.31","704.31","704.31","704.31","","0.61%"
"07/05/2016","700.06","700.06","700.06","700.06","","-1.42%"
"07/01/2016","710.17","710.17","710.17","710.17","","0.26%"
"06/30/2016","708.36","708.36","708.36","708.36","","2.09%"
"06/29/2016","693.87","693.87","693.87","693.87","","2.06%"
"06/28/2016","679.84","679.84","679.84","679.84","","1.33%"
"06/27/2016","670.90","670.90","670.90","670.90","","-3.05%"
"06/24/2016","692.01","692.01","692.01","692.01","","-3.78%"
"06/23/2016","719.19","719.19","719.19","719.19","","2.00%"
"06/22/2016","705.11","705.11","705.11","705.11","","-0.45%"
"06/21/2016","708.28","708.28","708.28","708.28","","-0.25%"
"06/20/2016","710.04","710.04","710.04","710.04","","1.22%"
"06/17/2016","701.48","701.48","701.48","701.48","","-0.22%"
"06/16/2016","703.01","703.01","703.01","703.01","","-0.10%"
"06/15/2016","703.71","703.71","703.71","703.71","","-0.03%"
"06/14/2016","703.90","703.90","703.90","703.90","","-0.06%"
"06/13/2016","704.30","704.30","704.30","704.30","","-1.16%"
"06/10/2016","712.58","712.58","712.58","712.58","","-1.37%"
"06/09/2016","722.51","722.51","722.51","722.51","","-0.53%"
"06/08/2016","726.38","726.38","726.38","726.38","","0.87%"
"06/07/2016","720.15","720.15","720.15","720.15","","0.39%"
"06/06/2016","717.38","717.38","717.38","717.38","","1.10%"
"06/03/2016","709.55","709.55","709.55","709.55","","-0.51%"
"06/02/2016","713.21","713.21","713.21","713.21","","0.44%"
"06/01/2016","710.11","710.11","710.11","710.11","","0.70%"
"05/31/2016","705.14","705.14","705.14","705.14","","0.33%"
"05/27/2016","702.85","702.85","702.85","702.85","","0.84%"
"05/26/2016","696.98","696.98","696.98","696.98","","-0.13%"
"05/25/2016","697.88","697.88","697.88","697.88","","0.56%"
"05/24/2016","694.02","694.02","694.02","694.02","","2.14%"
"05/23/2016","679.49","679.49","679.49","679.49","","-0.21%"
"05/20/2016","680.89","680.89","680.89","680.89","","1.48%"
"05/19/2016","670.97","670.97","670.97","670.97","","-0.77%"
"05/18/2016","676.19","676.19","676.19","676.19","","0.52%"
"05/17/2016","672.66","672.66","672.66","672.66","","-1.68%"
"05/16/2016","684.15","684.15","684.15","684.15","","1.01%"
"05/13/2016","677.30","677.30","677.30","677.30","","-0.72%"
"05/12/2016","682.19","682.19","682.19","682.19","","-0.39%"
"05/11/2016","684.85","684.85","684.85","684.85","","-1.22%"
"05/10/2016","693.32","693.32","693.32","693.32","","0.79%"
"05/09/2016","687.87","687.87","687.87","687.87","","-0.01%"
"05/06/2016","687.93","687.93","687.93","687.93","","0.86%"
"05/05/2016","682.04","682.04","682.04","682.04","","-0.62%"
"05/04/2016","686.32","686.32","686.32","686.32","","-0.55%"
"05/03/2016","690.09","690.09","690.09","690.09","","-1.42%"
"05/02/2016","700.03","700.03","700.03","700.03","","0.79%"
"04/29/2016","694.56","694.56","694.56","694.56","","-0.55%"
"04/28/2016","698.39","698.39","698.39","698.39","","-1.39%"
"04/27/2016","708.27","708.27","708.27","708.27","","0.42%"
"04/26/2016","705.33","705.33","705.33","705.33","","1.31%"
"04/25/2016","696.24","696.24","696.24","696.24","","-0.83%"
"04/22/2016","702.10","702.10","702.10","702.10","","1.02%"
"04/21/2016","695.02","695.02","695.02","695.02","","-0.76%"
"04/20/2016","700.32","700.32","700.32","700.32","","0.04%"
"04/19/2016","700.05","700.05","700.05","700.05","","0.34%"
"04/18/2016","697.65","697.65","697.65","697.65","","0.72%"
"04/15/2016","692.63","692.63","692.63","692.63","","0.19%"
"04/14/2016","691.30","691.30","691.30","691.30","","-0.23%"
"04/13/2016","692.90","692.90","692.90","692.90","","2.21%"
"04/12/2016","677.94","677.94","677.94","677.94","","0.99%"
"04/11/2016","671.32","671.32","671.32","671.32","","-0.16%"
"04/08/2016","672.42","672.42","672.42","672.42","","0.55%"
"04/07/2016","668.72","668.72","668.72","668.72","","-1.41%"
"04/06/2016","678.31","678.31","678.31","678.31","","0.85%"
"04/05/2016","672.61","672.61","672.61","672.61","","-1.19%"
"04/04/2016","680.69","680.69","680.69","680.69","","-1.08%"
"04/01/2016","688.10","688.10","688.10","688.10","","0.16%"
"03/31/2016","686.97","686.97","686.97","686.97","","0.12%"
"03/30/2016","686.12","686.12","686.12","686.12","","0.17%"
"03/29/2016","684.94","684.94","684.94","684.94","","2.70%"
"03/28/2016","666.93","666.93","666.93","666.93","","0.10%"
"03/24/2016","666.28","666.28","666.28","666.28","","0.35%"
"03/23/2016","663.96","663.96","663.96","663.96","","-1.65%"
"03/22/2016","675.07","675.07","675.07","675.07","","-0.23%"
"03/21/2016","676.66","676.66","676.66","676.66","","-0.31%"
"03/18/2016","678.79","678.79","678.79","678.79","","0.91%"
"03/17/2016","672.65","672.65","672.65","672.65","","1.74%"
"03/16/2016","661.14","661.14","661.14","661.14","","0.66%"
"03/15/2016","656.78","656.78","656.78","656.78","","-1.37%"
"03/14/2016","665.88","665.88","665.88","665.88","","-0.48%"
"03/11/2016","669.06","669.06","669.06","669.06","","2.07%"
"03/10/2016","655.47","655.47","655.47","655.47","","-0.71%"
"03/09/2016","660.18","660.18","660.18","660.18","","0.53%"
"03/08/2016","656.67","656.67","656.67","656.67","","-2.25%"
"03/07/2016","671.81","671.81","671.81","671.81","","1.13%"
"03/04/2016","664.31","664.31","664.31","664.31","","0.58%"
"03/03/2016","660.51","660.51","660.51","660.51","","1.14%"
"03/02/2016","653.07","653.07","653.07","653.07","","0.82%"
"03/01/2016","647.79","647.79","647.79","647.79","","1.85%"
"02/29/2016","636.03","636.03","636.03","636.03","","-0.22%"
"02/26/2016","637.42","637.42","637.42","637.42","","0.30%"
"02/25/2016","635.51","635.51","635.51","635.51","","0.97%"
"02/24/2016","629.40","629.40","629.40","629.40","","1.01%"
"02/23/2016","623.10","623.10","623.10","623.10","","-0.64%"
"02/22/2016","627.14","627.14","627.14","627.14","","1.11%"
"02/19/2016","620.28","620.28","620.28","620.28","","0.42%"
"02/18/2016","617.71","617.71","617.71","617.71","","-0.20%"
"02/17/2016","618.92","618.92","618.92","618.92","","1.17%"
"02/16/2016","611.77","611.77","611.77","611.77","","2.21%"
"02/12/2016","598.52","598.52","598.52","598.52","","1.74%"
"02/11/2016","588.26","588.26","588.26","588.26","","-1.18%"
"02/10/2016","595.27","595.27","595.27","595.27","","-0.29%"
"02/09/2016","597.03","597.03","597.03","597.03","","-0.45%"
"02/08/2016","599.74","599.74","599.74","599.74","","-0.90%"
"02/05/2016","605.16","605.16","605.16","605.16","","-2.36%"
"02/04/2016","619.78","619.78","619.78","619.78","","0.50%"
"02/03/2016","616.69","616.69","616.69","616.69","","0.25%"
"02/02/2016","615.17","615.17","615.17","615.17","","-2.02%"
"02/01/2016","627.84","627.84","627.84","627.84","","-0.33%"
"01/29/2016","629.95","629.95","629.95","629.95","","3.19%"
"01/28/2016","610.50","610.50","610.50","610.50","","0.27%"
"01/27/2016","608.86","608.86","608.86","608.86","","-1.44%"
"01/26/2016","617.76","617.76","617.76","617.76","","2.43%"
"01/25/2016","603.09","603.09","603.09","603.09","","-1.93%"
"01/22/2016","614.97","614.97","614.97","614.97","","2.12%"
"01/21/2016","602.20","602.20","602.20","602.20","","-0.24%"
"01/20/2016","603.67","603.67","603.67","603.67","","0.35%"
"01/19/2016","601.59","601.59","601.59","601.59","","-1.16%"
"01/15/2016","608.63","608.63","608.63","608.63","","-1.25%"
"01/14/2016","616.34","616.34","616.34","616.34","","1.48%"
"01/13/2016","607.34","607.34","607.34","607.34","","-2.78%"
"01/12/2016","624.70","624.70","624.70","624.70","","0.26%"
"01/11/2016","623.10","623.10","623.10","623.10","","-0.05%"
"01/08/2016","623.42","623.42","623.42","623.42","","-1.66%"
"01/07/2016","633.92","633.92","633.92","633.92","","-2.51%"
"01/06/2016","650.21","650.21","650.21","650.21","","-1.15%"
"01/05/2016","657.77","657.77","657.77","657.77","","0.30%"
"01/04/2016","655.78","655.78","655.78","655.78","","-2.38%"
"12/31/2015","671.74","671.74","671.74","671.74","","-1.33%"
"12/30/2015","680.78","680.78","680.78","680.78","","-0.97%"
"12/29/2015","687.44","687.44","687.44","687.44","","1.04%"
"12/28/2015","680.38","680.38","680.38","680.38","","-0.42%"
"12/24/2015","683.25","683.25","683.25","683.25","","0.20%"
"12/23/2015","681.89","681.89","681.89","681.89","","1.19%"
"12/22/2015","673.85","673.85","673.85","673.85","","0.98%"
"12/21/2015","667.33","667.33","667.33","667.33","","0.70%"
"12/18/2015","662.68","662.68","662.68","662.68","","-1.49%"
"12/17/2015","672.73","672.73","672.73","672.73","","-1.21%"
"12/16/2015","680.95","680.95","680.95","680.95","","1.42%"
"12/15/2015","671.41","671.41","671.41","671.41","","1.39%"
"12/14/2015","662.21","662.21","662.21","662.21","","-0.58%"
"12/11/2015","666.08","666.08","666.08","666.08","","-1.92%"
"12/10/2015","679.15","679.15","679.15","679.15","","0.22%"
"12/09/2015","677.65","677.65","677.65","677.65","","-1.17%"
"12/08/2015","685.69","685.69","685.69","685.69","","-0.64%"
"12/07/2015","690.10","690.10","690.10","690.10","","-1.46%"
"12/04/2015","700.33","700.33","700.33","700.33","","1.02%"
"12/03/2015","693.25","693.25","693.25","693.25","","-1.60%"
"12/02/2015","704.54","704.54","704.54","704.54","","-0.96%"
"12/01/2015","711.36","711.36","711.36","711.36","","0.65%"
"11/30/2015","706.75","706.75","706.75","706.75","","-0.39%"
"11/27/2015","709.50","709.50","709.50","709.50","","0.32%"
"11/25/2015","707.25","707.25","707.25","707.25","","0.60%"
"11/24/2015","703.05","703.05","703.05","703.05","","0.67%"
"11/23/2015","698.36","698.36","698.36","698.36","","0.35%"
"11/20/2015","695.89","695.89","695.89","695.89","","0.82%"
"11/19/2015","690.22","690.22","690.22","690.22","","-0.35%"
"11/18/2015","692.62","692.62","692.62","692.62","","1.49%"
"11/17/2015","682.46","682.46","682.46","682.46","","-0.21%"
"11/16/2015","683.88","683.88","683.88","683.88","","1.19%"
"11/13/2015","675.85","675.85","675.85","675.85","","-0.76%"
"11/12/2015","681.01","681.01","681.01","681.01","","-1.87%"
"11/11/2015","693.99","693.99","693.99","693.99","","-0.80%"
"11/10/2015","699.56","699.56","699.56","699.56","","0.24%"
"11/09/2015","697.86","697.86","697.86","697.86","","-1.49%"
"11/06/2015","708.39","708.39","708.39","708.39","","0.48%"
"11/05/2015","705.01","705.01","705.01","705.01","","0.26%"
"11/04/2015","703.21","703.21","703.21","703.21","","-0.31%"
"11/03/2015","705.39","705.39","705.39","705.39","","0.48%"
"11/02/2015","702.01","702.01","702.01","702.01","","1.84%"
"10/30/2015","689.36","689.36","689.36","689.36","","-0.34%"
"10/29/2015","691.70","691.70","691.70","691.70","","-0.98%"
"10/28/2015","698.55","698.55","698.55","698.55","","2.75%"
"10/27/2015","679.83","679.83","679.83","679.83","","-1.20%"
"10/26/2015","688.10","688.10","688.10","688.10","","-0.38%"
"10/23/2015","690.75","690.75","690.75","690.75","","0.99%"
"10/22/2015","684.00","684.00","684.00","684.00","","0.88%"
"10/21/2015","678.03","678.03","678.03","678.03","","-1.52%"
"10/20/2015","688.53","688.53","688.53","688.53","","0.18%"
"10/19/2015","687.28","687.28","687.28","687.28","","0.20%"
"10/16/2015","685.92","685.92","685.92","685.92","","0.04%"
"10/15/2015","685.68","685.68","685.68","685.68","","1.91%"
"10/14/2015","672.80","672.80","672.80","672.80","","-1.11%"
"10/13/2015","680.32","680.32","680.32","680.32","","-1.27%"
"10/12/2015","689.04","689.04","689.04","689.04","","0.19%"
"10/09/2015","687.76","687.76","687.76","687.76","","0.03%"
"10/08/2015","687.57","687.57","687.57","687.57","","1.16%"
"10/07/2015","679.69","679.69","679.69","679.69","","1.61%"
"10/06/2015","668.89","668.89","668.89","668.89","","-0.52%"
"10/05/2015","672.36","672.36","672.36","672.36","","2.70%"
"10/02/2015","654.67","654.67","654.67","654.67","","1.18%"
"10/01/2015","647.03","647.03","647.03","647.03","","-0.49%"
"09/30/2015","650.19","650.19","650.19","650.19","","1.31%"
"09/29/2015","641.76","641.76","641.76","641.76","","-0.48%"
"09/28/2015","644.88","644.88","644.88","644.88","","-2.71%"
"09/25/2015","662.87","662.87","662.87","662.87","","-0.05%"
"09/24/2015","663.23","663.23","663.23","663.23","","-0.07%"
"09/23/2015","663.72","663.72","663.72","663.72","","-0.13%"
"09/22/2015","664.56","664.56","664.56","664.56","","-1.40%"
"09/21/2015","674.03","674.03","674.03","674.03","","0.40%"
"09/18/2015","671.34","671.34","671.34","671.34","","-1.70%"
"09/17/2015","682.98","682.98","682.98","682.98","","0.17%"
"09/16/2015","681.85","681.85","681.85","681.85","","0.94%"
"09/15/2015","675.50","675.50","675.50","675.50","","1.13%"
"09/14/2015","667.97","667.97","667.97","667.97","","-0.36%"
"09/11/2015","670.37","670.37","670.37","670.37","","0.29%"
"09/10/2015","668.41","668.41","668.41","668.41","","0.11%"
"09/09/2015","667.68","667.68","667.68","667.68","","-0.99%"
"09/08/2015","674.34","674.34","674.34","674.34","","2.07%"
"09/04/2015","660.68","660.68","660.68","660.68","","-0.91%"
"09/03/2015","666.77","666.77","666.77","666.77","","0.21%"
"09/02/2015","665.34","665.34","665.34","665.34","","1.38%"
"09/01/2015","656.27","656.27","656.27","656.27","","-2.75%"
"08/31/2015","674.86","674.86","674.86","674.86","","0.00%"
"08/28/2015","674.84","674.84","674.84","674.84","","0.64%"
"08/27/2015","670.52","670.52","670.52","670.52","","1.70%"
"08/26/2015","659.31","659.31","659.31","659.31","","2.33%"
"08/25/2015","644.28","644.28","644.28","644.28","","-1.04%"
"08/24/2015","651.04","651.04","651.04","651.04","","-3.82%"
"08/21/2015","676.91","676.91","676.91","676.91","","-1.37%"
"08/20/2015","686.30","686.30","686.30","686.30","","-2.15%"
"08/19/2015","701.36","701.36","701.36","701.36","","-0.94%"
"08/18/2015","708.02","708.02","708.02","708.02","","-0.59%"
"08/17/2015","712.25","712.25","712.25","712.25","","0.76%"
"08/14/2015","706.90","706.90","706.90","706.90","","0.84%"
"08/13/2015","701.00","701.00","701.00","701.00","","-0.11%"
"08/12/2015","701.76","701.76","701.76","701.76","","-0.41%"
"08/11/2015","704.68","704.68","704.68","704.68","","-0.70%"
"08/10/2015","709.67","709.67","709.67","709.67","","1.21%"
"08/07/2015","701.21","701.21","701.21","701.21","","-0.57%"
"08/06/2015","705.22","705.22","705.22","705.22","","-0.85%"
"08/05/2015","711.29","711.29","711.29","711.29","","0.40%"
"08/04/2015","708.48","708.48","708.48","708.48","","0.02%"
"08/03/2015","708.36","708.36","708.36","708.36","","-0.60%"
"07/31/2015","712.64","712.64","712.64","712.64","","0.54%"
"07/30/2015","708.80","708.80","708.80","708.80","","0.36%"
"07/29/2015","706.27","706.27","706.27","706.27","","0.54%"
"07/28/2015","702.45","702.45","702.45","702.45","","0.80%"
"07/27/2015","696.86","696.86","696.86","696.86","","-0.69%"
"07/24/2015","701.72","701.72","701.72","701.72","","-1.28%"
"07/23/2015","710.84","710.84","710.84","710.84","","-1.19%"
"07/22/2015","719.42","719.42","719.42","719.42","","0.24%"
"07/21/2015","717.72","717.72","717.72","717.72","","-0.30%"
"07/20/2015","719.86","719.86","719.86","719.86","","-0.48%"
"07/17/2015","723.35","723.35","723.35","723.35","","-0.58%"
"07/16/2015","727.56","727.56","727.56","727.56","","0.69%"
"07/15/2015","722.54","722.54","722.54","722.54","","-0.76%"
"07/14/2015","728.07","728.07","728.07","728.07","","0.42%"
"07/13/2015","725.02","725.02","725.02","725.02","","0.81%"
"07/10/2015","719.22","719.22","719.22","719.22","","1.41%"
"07/09/2015","709.22","709.22","709.22","709.22","","0.20%"
"07/08/2015","707.83","707.83","707.83","707.83","","-1.29%"
"07/07/2015","717.06","717.06","717.06","717.06","","0.13%"
"07/06/2015","716.16","716.16","716.16","716.16","","-0.19%"
"07/02/2015","717.55","717.55","717.55","717.55","","-0.64%"
"07/01/2015","722.15","722.15","722.15","722.15","","0.41%"
"06/30/2015","719.20","719.20","719.20","719.20","","0.28%"
"06/29/2015","717.17","717.17","717.17","717.17","","-2.35%"
"06/26/2015","734.44","734.44","734.44","734.44","","-0.18%"
"06/25/2015","735.75","735.75","735.75","735.75","","-0.09%"
"06/24/2015","736.38","736.38","736.38","736.38","","-0.77%"
"06/23/2015","742.13","742.13","742.13","742.13","","0.30%"
"06/22/2015","739.92","739.92","739.92","739.92","","0.48%"
