date;Value;% Change;Open;High;Low;Turnover;
08.05.2013;557,14;-0,83;561,07;561,10;554,81;82.953.782;
07.05.2013;561,81;0,39;559,25;564,22;558,62;59.555.487;
30.04.2013;559,63;-0,64;563,24;563,24;558,13;11.917.668;
29.04.2013;563,24;-1,21;567,81;567,81;561,90;11.311.413;
26.04.2013;570,14;-1,32;577,94;577,94;565,09;12.354.903;
25.04.2013;577,79;-0,05;578,30;580,83;576,54;15.445.281;
24.04.2013;578,09;1,04;572,15;580,53;572,15;27.060.122;
23.04.2013;572,15;0,01;572,10;572,96;568,21;36.715.132;
22.04.2013;572,10;1,01;567,77;574,79;567,77;30.384.526;
19.04.2013;566,36;-0,55;566,45;567,08;564,34;14.210.728;
18.04.2013;569,48;0,56;566,31;569,48;565,29;22.674.259;
17.04.2013;566,31;-1,30;573,28;573,56;566,07;25.850.992;
16.04.2013;573,75;-0,22;575,04;575,54;573,20;15.495.481;
15.04.2013;575,04;-0,52;574,56;576,59;573,08;20.173.195;
12.04.2013;578,02;-0,47;580,59;580,90;576,02;40.165.150;
11.04.2013;580,76;-0,28;582,18;584,14;579,70;32.597.097;
10.04.2013;582,41;0,00;582,39;584,81;580,71;42.239.504;
09.04.2013;582,39;-0,73;584,75;586,51;578,56;12.887.375;
08.04.2013;586,65;-0,04;585,07;586,65;583,66;42.924.944;
05.04.2013;586,90;0,24;588,04;588,75;585,31;38.091.814;
04.04.2013;585,51;0,19;584,41;588,54;582,56;101.945.100;
03.04.2013;584,40;0,74;579,11;585,21;579,11;39.107.206;
02.04.2013;580,12;0,27;576,50;580,66;574,86;12.918.084;
01.04.2013;578,57;0,12;577,53;580,16;576,10;11.298.238;
29.03.2013;577,90;0,20;576,72;578,62;574,93;14.309.816;
28.03.2013;576,72;0,05;575,72;578,47;575,72;9.065.011;
27.03.2013;576,45;-0,17;574,39;577,50;573,92;41.643.241;
26.03.2013;577,43;0,24;576,51;578,39;574,36;22.610.854;
25.03.2013;576,04;0,58;571,04;576,55;570,95;48.972.312;
22.03.2013;572,71;0,15;570,77;573,55;570,77;58.027.858;
21.03.2013;571,88;0,20;570,73;572,43;570,16;44.550.535;
20.03.2013;570,74;0,02;568,60;571,58;567,84;14.320.528;
19.03.2013;570,65;-1,01;572,14;572,85;568,97;9.682.105;
18.03.2013;576,47;-0,26;582,56;582,81;575,58;7.858.687;
